理髪店	りはつてん
美容院	びよういん
世話	せわ
刈る	かる
手入れ	ていれ
切る	きる
パーマ	パーマ
主人	しゅじん
剃る	そる
数人	すうにん
ソファー	ソファー
腰掛ける	こしかける
順番	じゅんばん
オーバー	オーバー
着せる	きせる
ブラシ	ブラシ
チップ	チップ
剃刀	かみそり
頬	ほほ
顎	あご
泡	あわ
塗り付ける	ぬりつける
安上がり	やすあがり
番	ばん
刈り上がる	かりあがる
散髪	さんぱつ
お待ち遠様	おまちどおさま
鈴木良子	すずきりょうこ
鏡	かがみ
就く	つく
髪型	かみがた
シャンプー	シャンプー
ヘアスタイルー	ヘアスタイルー
指差す	ゆびさす
染める	そめる
髪の毛	かみのけ
大通り	おおどおり
おじさん	おじさん
朗らか	ほがらか
黙る	だまる
巻く	まく
鋏	はさみ
櫛	くし
眠る	ねむる
醒める	さめる
付ける	つける
分ける	わける
肩	かた
揉む	もむ
払う	はらう
外	そと
郵便局	ゆうびんきょく
葉書	はがき
宛名	あてな
位置	いち
表書き	おもてがき
封筒	ふうとう
上部	じょうぶ
書き入れる	かきいれる
書き込む	かきこむ
左上	ひだりうえ
隅	すみ
差し出し人	さしだしにん
氏名	しめい
都道府県	とどうふけん
速達	そくたつ
郵便物	ゆうびんぶつ
届ける	とどける
料金	りょうきん
加算	かさん
書留	かきとめ
宛先	あてさき
届く	とどく
損害	そんがい
賠償	ばいしょう
現金	げんきん
受取り	うけとり
保管	ほかん
郵便振替	ゆうびんふりかえ
同様	どうよう
水道	すいどう
電気	でんき
ガス	ガス
公共料金	こうきょうりょうきん
他府県	たふけん
地域	ちいき
局員	きょくいん
航空便	こうくうびん
受け取る	うけとる
量る	はかる
小包み	こづつみ
振込	ふりこみ
計算	けいさん
合計	ごうけい
郵便切手	ゆうびんきって
考え出す	かんがえだす
取扱	とりあつかい
それまで	それまで
せっかく	せっかく
ところが	ところが
首都	しゅと
ロンドン	ロンドン
目方	めかた
力を尽くす	ちからをつくす
中	じゅう
埃	ほこり
科学的	かがくてき
汚れ方	よごれかた
舞い上がる	まいあがる
沈下	ちんか
平均	へいきん
グラム	グラム
クレンザーブラシ	クレンザーブラシ
スチルーウルー	スチルーウルー
物理的	ぶつりてき
洗剤	せんざい
溶剤	ようざい
化学的	かがくてき
鉄	てつ
細い	ほそい
削る	けずる
太さ	ふとさ
汚れ落とし	よごれおとし
有効	ゆうこう
千切る	ちぎる
容器	ようき
吉田	よしだ
張英	ちょうえい
分担	ぶんたん
掃除機	そうじき
拭く	ふく
雑巾	ぞうきん
流し	ながし
束子	たわし
擦る	こする
何時の間にか	いつのまにか
お昼	おひる
あら	あら
道具	どうぐ
場所	ばしょ
汚れる	よごれる
バケツ	バケツ
放課後	ほうかご
後輩	こうはい
モップ	モップ
動かす	うごかす
端	はし
自然	しぜん
国土	こくど
必ずしも	かならずしも
かなり	かなり
大国	たいこく
スウエーデン	スウエーデン
巨大国	きょだいこく
東北	とうほく
西南	せいなん
細長い	ほそながい
列島	れっとう
海岸線	かいがんせん
山地	さんち
火山地	かざんち
火山	かざん
活火山	かっかざん
低地	ていち
大部分	だいぶぶん
集中	しゅうちゅう
高温	こうおん
地域的	ちいきてき
太平洋	たいへいよう
日本海	にほんかい
諸島	しょとう
目立つ	めだつ
経済的	けいざいてき
鉱物	こうぶつ
資源	しげん
災害	さいがい
地震	じしん
台風	たいふう
火事	かじ
名物	めいぶつ
曇る	くもる
風	かぜ
吹く	ふく
様々	さまざま
深い	ふかい
傘	かさ
見上げる	みあげる
遠足	えんそく
照る照る坊主	てるてるぼうず
からりと	からりと
晴れ上がるる	はれあがる
爽やか	さわやか
じめじめ	じめじめ
滅入る	めいる
胃腸	いちょう
単に	たんに
気を配る	きをくばる
農家	のうか
種蒔き	たねまき
肥料	ひりょう
作物	さくもつ
成長	せいちょう
日照り	ひでり
枯れる	かれる
実る	みのる
風水害	ふうすいがい
遭う	あう
